fb_id,date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result
1,6/14/2022,Costa Rica,New Zealand,North America,Oceania,1,0,FIFA World Cup qualification,Unknown,Qatar,TRUE,No,Win
2,6/14/2022,Kuwait,Jordan,Asia,Asia,0,3,AFC Asian Cup qualification,Unknown,Kuwait,FALSE,No,Lose
3,6/14/2022,Indonesia,Nepal,Asia,Asia,7,0,AFC Asian Cup qualification,Unknown,Kuwait,TRUE,No,Win
4,6/14/2022,Palestine,Philippines,Asia,Asia,4,0,AFC Asian Cup qualification,Unknown,Mongolia,TRUE,No,Win
5,6/14/2022,Mongolia,Yemen,Asia,Asia,2,0,AFC Asian Cup qualification,Unknown,Mongolia,FALSE,No,Win
6,6/14/2022,Maldives,Sri Lanka,Africa,Asia,1,0,AFC Asian Cup qualification,Unknown,Uzbekistan,TRUE,No,Win
7,6/14/2022,Uzbekistan,Thailand,Asia,Asia,2,0,AFC Asian Cup qualification,Unknown,Uzbekistan,FALSE,No,Win
8,6/14/2022,Afghanistan,Cambodia,Asia,Asia,2,2,AFC Asian Cup qualification,Unknown,India,TRUE,No,Draw
9,6/14/2022,India,Hong Kong,Asia,Asia,4,0,AFC Asian Cup qualification,Unknown,India,FALSE,No,Win
10,6/14/2022,Bahrain,Turkmenistan,Asia,Asia,1,0,AFC Asian Cup qualification,Unknown,Malaysia,TRUE,No,Win
11,6/14/2022,Malaysia,Bangladesh,Asia,Asia,4,1,AFC Asian Cup qualification,Unknown,Malaysia,FALSE,No,Win
12,6/14/2022,Myanmar,Singapore,Asia,Asia,2,6,AFC Asian Cup qualification,Unknown,Kyrgyz Republic,TRUE,No,Lose
13,6/14/2022,Kyrgyz Republic,Tajikistan,Asia,Asia,0,0,AFC Asian Cup qualification,Unknown,Kyrgyz Republic,FALSE,No,Draw
14,6/14/2022,Jamaica,Mexico,North America,North America,1,1,CONCACAF Nations League,Unknown,Jamaica,FALSE,No,Draw
15,6/14/2022,El Salvador,USA,North America,North America,1,1,CONCACAF Nations League,Unknown,El Salvador,FALSE,No,Draw
16,6/14/2022,Haiti,Guyana,North America,South America,6,0,CONCACAF Nations League,Unknown,Dominican Republic,TRUE,No,Win
17,6/14/2022,England,Hungary,Europe,Europe,0,4,UEFA Nations League,Unknown,England,FALSE,No,Lose
18,6/14/2022,Germany,Italy,Europe,Europe,5,2,UEFA Nations League,Unknown,Germany,FALSE,No,Win
19,6/14/2022,Netherlands,Wales,Europe,Europe,3,2,UEFA Nations League,Unknown,Netherlands,FALSE,No,Win
20,6/14/2022,Poland,Belgium,Europe,Europe,0,1,UEFA Nations League,Unknown,Poland,FALSE,No,Lose
21,6/14/2022,Armenia,Scotland,Europe,Europe,1,4,UEFA Nations League,Unknown,Armenia,FALSE,No,Lose
22,6/14/2022,Ukraine,Republic of Ireland,Europe,Europe,1,1,UEFA Nations League,Unknown,Poland,TRUE,No,Draw
23,6/14/2022,Bosnia and Herzegovina,Finland,Europe,Europe,3,2,UEFA Nations League,Unknown,Bosnia and Herzegovina,FALSE,No,Win
24,6/14/2022,Romania,Montenegro,Europe,Europe,0,3,UEFA Nations League,Unknown,Romania,FALSE,No,Lose
25,6/14/2022,Luxembourg,Faroe Islands,Europe,Europe,2,2,UEFA Nations League,Unknown,Luxembourg,FALSE,No,Draw
26,6/14/2022,Turkey,Lithuania,Europe,Europe,2,0,UEFA Nations League,Unknown,Turkey,FALSE,No,Win
27,6/14/2022,Moldova,Andorra,Europe,Europe,2,1,UEFA Nations League,Unknown,Moldova,FALSE,No,Win
28,6/14/2022,Liechtenstein,Latvia,Europe,Europe,0,2,UEFA Nations League,Unknown,Liechtenstein,FALSE,No,Lose
29,6/14/2022,Chile,Ghana,South America,Africa,0,0,Kirin Cup,Unknown,Japan,TRUE,Yes,Lose
30,6/14/2022,Japan,Tunisia,Asia,Africa,0,3,Kirin Cup,Unknown,Japan,FALSE,No,Lose
31,6/14/2022,Korea Republic,Egypt,Asia,Africa,4,1,Friendly,Unknown,Korea Republic,FALSE,No,Win
32,6/13/2022,Australia,Peru,Oceania,South America,0,0,FIFA World Cup qualification,Unknown,Qatar,TRUE,Yes,Win
33,6/13/2022,São Tomé and Príncipe,Nigeria,Africa,Africa,0,10,African Cup of Nations qualification,Unknown,Morocco,TRUE,No,Lose
34,6/13/2022,Sierra Leone,Guinea-Bissau,Africa,Africa,2,2,African Cup of Nations qualification,Unknown,Guinea,TRUE,No,Draw
35,6/13/2022,Morocco,Liberia,Africa,Africa,2,0,African Cup of Nations qualification,Unknown,Morocco,FALSE,No,Win
36,6/13/2022,Honduras,Canada,North America,North America,2,1,CONCACAF Nations League,Unknown,Honduras,FALSE,No,Win
37,6/13/2022,Nicaragua,Bahamas,North America,North America,4,0,CONCACAF Nations League,Unknown,Nicaragua,FALSE,No,Win
38,6/13/2022,Trinidad and Tobago,St. Vincent and the Grenadines,South America,North America,4,1,CONCACAF Nations League,Unknown,Trinidad and Tobago,FALSE,No,Win
39,6/13/2022,Guatemala,Dominican Republic,North America,North America,2,0,CONCACAF Nations League,Unknown,Guatemala,FALSE,No,Win
40,6/13/2022,Denmark,Austria,Europe,Europe,2,0,UEFA Nations League,Unknown,Denmark,FALSE,No,Win
41,6/13/2022,France,Croatia,Europe,Europe,0,1,UEFA Nations League,Unknown,France,FALSE,No,Lose
42,6/13/2022,Iceland,Israel,Europe,Europe,2,2,UEFA Nations League,Unknown,Iceland,FALSE,No,Draw
43,6/13/2022,Azerbaijan,Belarus,Europe,Europe,2,0,UEFA Nations League,Unknown,Azerbaijan,FALSE,No,Win
44,6/13/2022,Kazakhstan,Slovakia,Europe,Europe,2,1,UEFA Nations League,Unknown,Kazakhstan,FALSE,No,Win
45,6/13/2022,Albania,Estonia,Europe,Europe,0,0,Friendly,Unknown,Albania,FALSE,No,Draw
46,6/12/2022,Cuba,Antigua and Barbuda,North America,North America,3,1,CONCACAF Nations League,Unknown,Cuba,FALSE,No,Win
47,6/12/2022,St. Lucia,Anguilla,North America,North America,2,0,CONCACAF Nations League,Unknown,St. Lucia,FALSE,No,Win
48,6/12/2022,Puerto Rico,British Virgin Islands,North America,North America,6,0,CONCACAF Nations League,Unknown,Puerto Rico,FALSE,No,Win
49,6/12/2022,Spain,Czech Republic,Europe,Europe,2,0,UEFA Nations League,Unknown,Spain,FALSE,No,Win
50,6/12/2022,Switzerland,Portugal,Europe,Europe,1,0,UEFA Nations League,Unknown,Switzerland,FALSE,No,Win
51,6/12/2022,Norway,Sweden,Europe,Europe,3,2,UEFA Nations League,Unknown,Norway,FALSE,No,Win
52,6/12/2022,Slovenia,Serbia,Europe,Europe,2,2,UEFA Nations League,Unknown,Slovenia,FALSE,No,Draw
53,6/12/2022,Northern Ireland,Cyprus,Europe,Europe,2,2,UEFA Nations League,Unknown,Northern Ireland,FALSE,No,Draw
54,6/12/2022,Greece,Kosovo,Europe,Europe,2,0,UEFA Nations League,Unknown,Greece,FALSE,No,Win
55,6/12/2022,North Macedonia,Gibraltar,Europe,Europe,4,0,UEFA Nations League,Unknown,North Macedonia,FALSE,No,Win
56,6/12/2022,Georgia,Bulgaria,Europe,Europe,0,0,UEFA Nations League,Unknown,Georgia,FALSE,No,Draw
57,6/12/2022,Malta,San Marino,Europe,Europe,1,0,UEFA Nations League,Unknown,Malta,FALSE,No,Win
58,6/12/2022,IR Iran,Algeria,Asia,Africa,1,2,Friendly,Unknown,Qatar,TRUE,No,Lose
59,6/11/2022,Kuwait,Nepal,Asia,Asia,4,1,AFC Asian Cup qualification,Unknown,Kuwait,FALSE,No,Win
60,6/11/2022,Indonesia,Jordan,Asia,Asia,0,1,AFC Asian Cup qualification,Unknown,Kuwait,TRUE,No,Lose
61,6/11/2022,Mongolia,Philippines,Asia,Asia,0,1,AFC Asian Cup qualification,Unknown,Mongolia,FALSE,No,Lose
62,6/11/2022,Yemen,Palestine,Asia,Asia,0,5,AFC Asian Cup qualification,Unknown,Mongolia,TRUE,No,Lose
63,6/11/2022,Sri Lanka,Thailand,Asia,Asia,0,2,AFC Asian Cup qualification,Unknown,Uzbekistan,TRUE,No,Lose
64,6/11/2022,Uzbekistan,Maldives,Asia,Africa,4,0,AFC Asian Cup qualification,Unknown,Uzbekistan,FALSE,No,Win
65,6/11/2022,Cambodia,Hong Kong,Asia,Asia,0,3,AFC Asian Cup qualification,Unknown,India,TRUE,No,Lose
66,6/11/2022,India,Afghanistan,Asia,Asia,2,1,AFC Asian Cup qualification,Unknown,India,FALSE,No,Win
67,6/11/2022,Bangladesh,Turkmenistan,Asia,Asia,1,2,AFC Asian Cup qualification,Unknown,Malaysia,TRUE,No,Lose
68,6/11/2022,Malaysia,Bahrain,Asia,Asia,1,2,AFC Asian Cup qualification,Unknown,Malaysia,FALSE,No,Lose
69,6/11/2022,Singapore,Tajikistan,Asia,Asia,0,1,AFC Asian Cup qualification,Unknown,Kyrgyz Republic,TRUE,No,Lose
70,6/11/2022,Kyrgyz Republic,Myanmar,Asia,Asia,2,0,AFC Asian Cup qualification,Unknown,Kyrgyz Republic,FALSE,No,Win
71,6/11/2022,Mexico,Suriname,North America,South America,3,0,CONCACAF Nations League,Unknown,Mexico,FALSE,No,Win
72,6/11/2022,Guyana,Haiti,South America,North America,2,6,CONCACAF Nations League,Unknown,Guyana,FALSE,No,Lose
73,6/11/2022,Montserrat,Bermuda,North America,North America,3,2,CONCACAF Nations League,Unknown,Dominican Republic,TRUE,No,Win
74,6/11/2022,England,Italy,Europe,Europe,0,0,UEFA Nations League,Unknown,England,FALSE,No,Draw
75,6/11/2022,Hungary,Germany,Europe,Europe,1,1,UEFA Nations League,Unknown,Hungary,FALSE,No,Draw
76,6/11/2022,Wales,Belgium,Europe,Europe,1,1,UEFA Nations League,Unknown,Wales,FALSE,No,Draw
77,6/11/2022,Netherlands,Poland,Europe,Europe,2,2,UEFA Nations League,Unknown,Netherlands,FALSE,No,Draw
78,6/11/2022,Ukraine,Armenia,Europe,Europe,3,0,UEFA Nations League,Unknown,Poland,TRUE,No,Win
79,6/11/2022,Republic of Ireland,Scotland,Europe,Europe,3,0,UEFA Nations League,Unknown,Republic of Ireland,FALSE,No,Win
